code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
33069,Le Bouscat,33,Gironde,Nouvelle-Aquitaine,25081,44.865,-0.6033,4360,5120,3850,3540,5350,500000,229000,76,1088,517,571,2023-01-03,2025-12-30,-10.1,4.4,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-bouscat/
33236,Lège-Cap-Ferret,33,Gironde,Nouvelle-Aquitaine,7909,44.7452,-1.174,9280,9180,9800,5650,12770,831000,325500,83,408,308,100,2023-01-03,2025-12-30,-19.8,12.8,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/lege-cap-ferret/
33200,Le Haillan,33,Gironde,Nouvelle-Aquitaine,11392,44.8713,-0.6903,3610,3750,3500,3180,4050,360500,169000,65,482,219,263,2023-01-04,2025-12-31,-5.8,0.8,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-haillan/
33237,Léogeats,33,Gironde,Nouvelle-Aquitaine,902,44.5053,-0.3648,2290,2290,,1790,2540,236500,,102,20,20,0,2023-01-09,2025-12-19,,,3570,indicative,
33238,Léognan,33,Gironde,Nouvelle-Aquitaine,10670,44.7236,-0.6172,3520,3550,3310,2950,4060,330500,222000,92,230,218,12,2023-01-11,2025-12-30,-11.5,2.8,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/leognan/
33322,Le Pian-Médoc,33,Gironde,Nouvelle-Aquitaine,7292,44.9555,-0.6737,3490,3470,3770,3080,3850,353000,224500,100,132,126,6,2023-01-10,2025-12-26,-5.2,2.3,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-pian-medoc/
33333,Le Porge,33,Gironde,Nouvelle-Aquitaine,3465,44.8649,-1.1351,4080,4080,,3610,4450,370000,,92,60,59,1,2023-01-12,2025-12-22,-3.7,7.8,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/le-porge/
33014,Les Artigues-de-Lussac,33,Gironde,Nouvelle-Aquitaine,1119,44.9735,-0.1427,2060,2060,,1750,2430,242500,,103,21,21,0,2023-04-17,2025-10-09,,,3570,indicative,
33052,Les Billaux,33,Gironde,Nouvelle-Aquitaine,1174,44.9612,-0.2421,2100,2110,2080,1630,2430,210000,125000,92,24,19,5,2023-01-18,2025-11-26,,,3570,indicative,
33154,Les Églisottes-et-Chalaures,33,Gironde,Nouvelle-Aquitaine,2205,45.0946,-0.0389,1400,1450,,1140,1850,113000,,72,46,42,4,2023-03-13,2025-12-16,,10.2,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/les-eglisottes-et-chalaures/
